Item Name,Item Price
Beginner Sword,15,1
Beginner Sword,15,2
Beginner Sword,15,3
Beginner Sword,15,0
Advanced Sword,20,1
Beginner Sword,15,2
Intermidate Sword,22,4
Advanced Sword,25,1
Intermidate Sword,17,3
Intermidate Sword,17,2
Beginner Sword,15,1
Intermidate Sword,17,0
Beginner Sword,15,4
Beginner Sword,15,2
Beginner Sword,20,4
Beginner Sword,15,2
Intermidate Sword,27,4
Beginner Sword,25,3
Epic Sword,22,1
Intermidate Sword,17,2
Intermidate Sword,22,3
Master Sword,25,1
Advanced Sword,20,0
Intermidate Sword,17,4
Beginner Sword,25,1
Intermidate Sword,27,4
Beginner Sword,20,3
Beginner Sword,15,2
Intermidate Sword,27,0
Advanced Sword,20,1
Intermidate Sword,17,4
Intermidate Sword,17,2
Intermidate Sword,17,3
Beginner Sword,15,4
Intermidate Sword,17,0
Advanced Sword,20,0
Intermidate Sword,17,3
Beginner Sword,25,2
Beginner Sword,25,1
Beginner Sword,25,2
Intermidate Sword,17,0
Beginner Sword,15,4
Advanced Sword,30,3
Intermidate Sword,27,4
Intermidate Sword,32,2
Master Sword,25,0
Advanced Sword,20,1
Intermidate Sword,17,0
Beginner Sword,15,0
Advanced Sword,20,1
Beginner Sword,15,1
Epic Sword,22,1
Intermidate Sword,17,4
Intermidate Sword,17,3
Beginner Sword,15,0
Beginner Sword,15,2
Beginner Sword,15,2
Beginner Sword,20,2
Intermidate Sword,17,1
Intermidate Sword,17,1
Intermidate Sword,17,2
Beginner Sword,20,3
Beginner Sword,15,4
Beginner Sword,30,4
Intermidate Sword,17,0
Beginner Sword,15,0
Beginner Sword,30,0
Beginner Sword,20,2
Beginner Sword,20,3
Beginner Sword,15,0
Intermidate Sword,17,2
Master Sword,25,3
Intermidate Sword,17,1
Epic Sword,22,3
Beginner Sword,15,4
Beginner Sword,15,0
Beginner Sword,15,1
Beginner Sword,20,1
Intermidate Sword,27,3
Beginner Sword,45,3
Beginner Sword,25,1
Advanced Sword,20,1
Advanced Sword,20,1
Beginner Sword,20,4
Beginner Sword,15,3
Intermidate Sword,27,0
Intermidate Sword,27,3
Intermidate Sword,22,4
Master Sword,25,1
Advanced Sword,20,2
Master Sword,25,0
Beginner Sword,25,0
Advanced Sword,20,3
Beginner Sword,15,1
Advanced Sword,30,1
Beginner Sword,25,3
Beginner Sword,20,2
Intermidate Sword,17,4
Intermidate Sword,17,4
Beginner Sword,15,1
Beginner Sword,15,1
Intermidate Sword,22,4
Beginner Sword,20,1
Advanced Sword,20,0
Beginner Sword,15,4
Intermidate Sword,27,2
Beginner Sword,15,3
Beginner Sword,15,4
Intermidate Sword,22,0
Advanced Sword,20,1
Beginner Sword,20,3
Beginner Sword,15,4
Beginner Sword,15,1
Beginner Sword,20,0
Beginner Sword,15,1
Intermidate Sword,17,2
Beginner Sword,15,3
Beginner Sword,15,1
Intermidate Sword,17,2
Beginner Sword,15,0
Advanced Sword,25,1
Advanced Sword,20,4
Intermidate Sword,27,2
Intermidate Sword,22,4
Beginner Sword,15,1
Intermidate Sword,17,3
Intermidate Sword,22,1
Beginner Sword,25,0
Beginner Sword,25,3
Epic Sword,22,2
Beginner Sword,15,4
Intermidate Sword,17,1
Epic Sword,22,3
Beginner Sword,15,1
Beginner Sword,15,1
Intermidate Sword,17,1
Beginner Sword,15,4
Beginner Sword,15,3
Beginner Sword,15,3
Beginner Sword,15,3
Beginner Sword,15,3
Beginner Sword,15,4
Advanced Sword,20,3
Beginner Sword,15,1
Intermidate Sword,22,3
Beginner Sword,15,1
Intermidate Sword,27,3
Advanced Sword,20,1
Intermidate Sword,17,0
Beginner Sword,15,4
Beginner Sword,15,2
Intermidate Sword,17,1
Beginner Sword,15,4
Beginner Sword,15,2
Master Sword,25,1
Master Sword,25,1
Epic Sword,22,0
Beginner Sword,20,2
Beginner Sword,15,1
Beginner Sword,15,1
Beginner Sword,15,0
Beginner Sword,15,0
Intermidate Sword,17,4
Beginner Sword,15,2
Beginner Sword,15,3
Intermidate Sword,17,0
Beginner Sword,15,1
Intermidate Sword,17,2
Intermidate Sword,22,3
Intermidate Sword,17,4
Intermidate Sword,17,4
Epic Sword,22,0
Beginner Sword,15,0
Beginner Sword,15,0
Master Sword,25,2
Advanced Sword,20,4
Beginner Sword,30,0
Beginner Sword,15,2
Beginner Sword,15,1
Intermidate Sword,17,2
Beginner Sword,15,0
Intermidate Sword,22,2
Intermidate Sword,22,2
Intermidate Sword,17,1
Beginner Sword,15,3
Intermidate Sword,17,1
Intermidate Sword,17,4
Beginner Sword,15,2
Intermidate Sword,17,0
Beginner Sword,20,1
Beginner Sword,20,4
Intermidate Sword,22,4
Beginner Sword,15,0
Intermidate Sword,17,2
Intermidate Sword,22,1
Beginner Sword,20,3
Beginner Sword,15,1
Beginner Sword,15,1
Intermidate Sword,17,2
Epic Sword,22,0

